Aligned_X,Aligned_Y,Index_X,Index_Y
-0.1807993892591014,-0.1808041297941333,133,11
-0.1807993892591014,-0.1808011168581832,133,12
-0.1807993892591014,-0.1808020447097759,133,13
-0.1807993892591014,-0.1808051828346687,133,14
-0.1807993892591014,-0.1808021987024471,133,15
-0.1807993892591014,-0.1808040420974889,133,16
-0.1807993892591014,-0.1808020005809936,133,17
-0.1807993892591014,-0.1807966611808289,133,18
-0.1807993892591014,-0.1808028236951702,133,19
-0.1807993892591014,-0.1807995162789408,133,20
-0.1807993892591014,-0.1808032317562745,133,21
-0.1807993892591014,-0.180802021132017,133,22
-0.1807993892591014,-0.1808029337374022,133,23
-0.1807993892591014,-0.1808054049808241,133,24
-0.1807993892591014,-0.1808009699469913,133,25
-0.1807993892591014,-0.1808006432816757,133,26
-0.1807993892591014,-0.1808021161958728,133,27
-0.1807993892591014,-0.1808055180546369,133,28
-0.1807993892591014,-0.180805586432384,133,29
-0.1807993892591014,-0.1808028966963915,133,30
-0.1807993892591014,-0.180802530180177,133,31
-0.1807993892591014,-0.1807999317264463,133,32
-0.1807993892591014,-0.1808022775735169,133,33
-0.1807993892591014,-0.1808002413598274,133,34
-0.1807993892591014,-0.1808030626766626,133,35
-0.1807993892591014,-0.1807985933183109,133,36
-0.1807993892591014,-0.180801570281551,133,37
-0.1807993892591014,-0.1808036397363334,133,38
-0.1807993892591014,-0.1807994430572301,134,39
-0.1807993892591014,-0.1808037919288332,134,40
-0.1807993892591014,-0.180802252310963,134,41
-0.1807993892591014,-0.1808043706808993,134,42
-0.1807993892591014,-0.1808038622549385,134,43
-0.1807993892591014,-0.180802801688659,134,44
-0.1807442757638542,-0.180802801688659,135,44
-0.1807494416352213,-0.180802801688659,136,44
-0.1807467061343507,-0.180802801688659,137,44
-0.1807473402229163,-0.180802801688659,138,44
-0.18075693914636,-0.180802801688659,139,44
-0.1807520593457565,-0.180802801688659,140,44
-0.1807325557718023,-0.180802801688659,141,44
-0.1807325557718023,-0.1806455416347494,141,45
-0.1807325557718023,-0.1804337142520721,141,46
-0.1807325557718023,-0.1801825262310001,141,47
-0.1807325557718023,-0.1801988100451828,141,48
-0.1807325557718023,-0.1801956671887196,141,49
-0.1807325557718023,-0.1801999414556537,141,50
-0.1807325557718023,-0.1801970862471371,141,51
-0.1807325557718023,-0.1801983709521373,141,52
-0.1807325557718023,-0.1802019601464754,141,53
-0.1807325557718023,-0.18019497281471,141,54
-0.1807325557718023,-0.1801983491352831,141,55
-0.1807325557718023,-0.1802008608172607,141,56
-0.1807325557718023,-0.180200032368369,141,57
-0.1807325557718023,-0.1801999961660034,141,58
-0.1807325557718023,-0.1802000622546585,141,59
-0.1807325557718023,-0.1801995493337502,141,60
-0.1807325557718023,-0.1802005214956224,141,61
-0.1807325557718023,-0.1802017162233417,141,62
-0.1807325557718023,-0.1801996907738289,141,63
-0.1807325557718023,-0.1801982775670804,141,64
-0.1807325557718023,-0.1802024977081993,141,65
-0.1807325557718023,-0.1801994199156618,141,66
-0.1807325557718023,-0.1802004527870213,141,67
-0.1807325557718023,-0.1801968828425601,141,68
-0.1807325557718023,-0.1802005903968942,141,69
-0.1807325557718023,-0.1801964238926044,141,70
-0.1807325557718023,-0.1801977448182755,141,71
-0.1807325557718023,-0.180197060950175,141,72
-0.1807325557718023,-0.1802046644906106,141,73
-0.1807325557718023,-0.1802393439184311,141,74
-0.1807325557718023,-0.1802312556583902,141,75
-0.1807325557718023,-0.1803417986666549,141,76
-0.1807325557718023,-0.1805740216481134,141,77
-0.1807325557718023,-0.1807766057456132,141,78
-0.1807325557718023,-0.180757674962161,141,79
-0.1807355169030949,-0.1807406252541527,142,80
-0.1807376459531275,-0.1807406252541527,143,80
-0.1807376459531275,-0.1807613799481888,143,81
-0.1807376459531275,-0.1807589607163392,143,82
-0.1807376459531275,-0.1807589607163392,143,83
-0.1807376459531275,-0.1807486010614729,143,84
-0.1807376459531275,-0.1807400392330494,143,85
-0.1807376459531275,-0.1807527514809697,143,86
